num_redundant_R,num_nodes_V,num_admittances,report_time,loop_time,validation_time,total_time,avg_islands,num_candidates,timestamp
934,2146,888,0.296993,0.065406,0.016375,0.393623,1428.1,880,2026-04-13 09:04:37
3134,6463,2932,2.748858,0.794813,0.04638,3.899525,4103.1,2932,2026-04-13 09:07:41
2,6,6,0.000101,0.000119,0.000404,0.000918,2.0,2,2026-04-13 16:21:18
4,20,22,0.000155,0.000169,0.00197,0.002581,16.0,2,2026-05-05 09:08:53
1341,5000,5749,0.005282,0.072868,0.11926,0.208984,3600.4,370,2026-05-05 09:22:49
4255,15000,17249,0.170825,0.544216,0.310695,1.151146,10630.6,865,2026-05-05 09:24:31
4386,15000,17999,0.019631,0.661173,0.627864,1.44148,10215.8,902,2026-05-05 09:25:46
2929,10000,11999,0.010578,0.143268,0.277961,0.448621,6825.4,409,2026-05-05 09:35:07
1431,5000,5998,0.005522,0.069189,0.053516,0.137531,3425.6,386,2026-05-05 09:35:24
246,1000,1198,0.001145,0.004524,0.014811,0.021232,699.4,123,2026-05-05 09:35:35
165,500,596,0.000725,0.005355,0.009063,0.015843,326.5,117,2026-05-05 09:35:46
14671,50000,59998,13.476498,57.222913,9.760761,90.331857,34126.4,5391,2026-05-05 09:46:19
1253,5000,5498,0.005078,0.062248,0.043657,0.119687,3658.7,340,2026-05-06 08:59:35
5293,18000,21599,0.022337,0.923501,0.73158,1.860671,13167.5,1249,2026-05-06 09:00:42
5372,18000,21599,0.187397,0.650696,0.68083,1.661358,13109.4,1269,2026-05-06 09:51:59
5004,18000,21599,0.013591,0.602421,0.61222,1.376348,13308.3,1237,2026-05-06 10:07:13
5217,18000,21599,0.170362,0.606273,0.622574,1.536957,13097.6,1215,2026-05-06 10:19:38
5180,18000,21598,0.175468,0.613288,0.653386,1.578209,13161.6,1246,2026-05-06 10:20:23
5058,18000,21599,0.013454,0.585692,0.548101,1.281596,13199.5,1194,2026-05-06 10:28:21
5230,18000,21599,0.173048,0.60609,0.624129,1.53632,13194.3,1208,2026-05-06 10:34:47
5261,18000,21598,0.020219,1.457015,0.000326,1.477811,0,0,2026-05-06 13:16:42
2440,8000,9599,0.009229,0.03268,0.116505,0.170185,4997.8,199,2026-05-06 13:34:11
2399,8000,9598,0.033953,0.022546,0.137751,0.202534,4605.0,138,2026-05-06 13:35:41
35,30,33,0.000322,0.00764,0.00033,0.008395,4.0,35,2026-06-22 19:57:21
